drug_city_2022,Prscrbr_State_Abrvtn,POPESTIMATE2022,total_prescriptions_2022,avg_aqi_2022,all_prescriptions_2022,asthma_fraction_2022,rate_per_1000_2022,total_cost_all_2022,total_cost_asthma_2022,asthma_cost_fraction_2022
Grand Island,NE,76522,12091,29.922857142857143,329096,0.036740039380606264,158.0068477039283,17778467.91,1418520.85,0.07978870042013649
Grand Junction,CO,158585,20534,45.961643835616435,440122,0.04665524559099522,129.4826118485355,33694169.55,2763750.36,0.08202458754470178
Grand Rapids,MI,1158524,93065,50.21917808219178,2232445,0.041687477183088496,80.33066211835059,225118654.81,12285458.08,0.054573256447222995
Grants Pass,OR,87786,15867,46.87945205479452,351438,0.04514878869103512,180.7463604675005,12887736.17,1560632.21,0.12109436361933222
Grass Valley,CA,102356,10738,59.11232876712329,234488,0.045793388147794344,104.90835906053383,17234587.26,1148678.77,0.06664962454111012
Great Falls,MT,84908,22090,26.969359331476323,450819,0.04899970941774859,260.16394214914965,29194644.44,4033939.2,0.13817394516622516
Green Bay,WI,330902,43692,43.710306406685234,1149692,0.038003221732429204,132.03909314540257,96716392.15,7495004.13,0.07749466210831976
Greenfield,MA,71050,8566,42.0027397260274,188100,0.04553960659223817,120.56298381421534,10678939.24,894192.02,0.08373416122180315
Greensboro,NC,785413,63469,45.295890410958904,1741608,0.036442758646032865,80.80971412492535,148568961.06,7416619.96,0.04992038651333623
Greenville,NC,177090,42162,36.912328767123284,1066068,0.0395490719166132,238.08233101812638,112079385.88,4921147.78,0.043907697578472855
Hagerstown,MD,302325,31713,41.463276836158194,593452,0.053438188766741036,104.89704787893824,51364327.29,5240290.31,0.10202197880279101
Hammond,LA,136734,28135,39.46774193548387,613999,0.04582255019959316,205.76447701376395,40051810.96,3657344.39,0.09131533137546798
Hanford,CA,152776,11603,72.8958904109589,292411,0.039680449777881134,75.94779284704403,15300280.19,613892.18,0.040122937121192685
Hanover,PA,461385,15714,47.16712328767123,351849,0.0446612040960753,34.05832439286063,20520261.36,2182105.73,0.10633908076110392
Harrison,AR,45347,10839,38.016438356164386,249530,0.043437662806075424,239.02352967120206,8695560.06,863028.82,0.09924936565845534
Harrisonburg,VA,51207,15461,34.21917808219178,322002,0.04801522971907007,301.9313765696096,15446774.77,1865616.42,0.12077708439326199
Hattiesburg,MS,155535,37843,48.73698630136986,885119,0.042754703039930224,243.3085800623654,74688121.71,6264977.88,0.08388185077575973
Helena,MT,94332,9555,49.15890410958904,281231,0.03397562857579712,101.29118432769368,12475246.01,1224213.74,0.09813143075645048
Henderson,NV,2321961,60545,70.71506849315068,1259405,0.048074289049193863,26.07494268852922,85849174.73,7863254.82,0.09159383121305865
Hermiston,OR,91989,3572,42.010958904109586,82010,0.04355566394342154,38.8307297611671,2981361.02,231634.21,0.07769411636031921
Hickory,NC,367514,37692,44.61917808219178,918232,0.04104844962928759,102.55935828294976,53891185.06,3567070.09,0.06619023289297843
Hillsboro,OR,2510302,12791,48.69041095890411,339845,0.03763774661978255,5.09540286387853,18582584.01,1046134.6,0.05629650857152239
Hilo,HI,206324,13055,34.293150684931504,275932,0.047312381311337574,63.274267656695294,18867126.51,1654040.3,0.08766784380882385
Hobbs,NM,72300,4687,48.83013698630137,88162,0.05316349447607813,64.8271092669433,3016706.21,281206.65,0.09321645212511431
Holland,MI,121262,18272,43.55813953488372,419796,0.04352590305767563,150.68199435932115,29737962.33,2020761.03,0.06795223585179651
Homosassa,FL,162586,4765,43.4766081871345,84465,0.05641389924820932,29.30756645713653,2466290.76,526820.05,0.21360824868840692
Honolulu,HI,995652,60847,29.646575342465752,1652561,0.036819820871967814,61.112718098291374,242299660.88,11978098.53,0.04943506105826622
Hot Springs,AR,99942,36017,42.330357142857146,741533,0.04857100088600238,360.37901983150226,44760824.84,4124417.72,0.09214346998168499
Houma,LA,200359,27239,44.300561797752806,677242,0.040220482486319514,135.95096801241772,56235594.18,3574729.2,0.06356702106779447
Houston,TX,7403068,366839,68.5068493150685,9285505,0.03950662888017399,49.55229372470981,1026691821.44,43111905.5,0.04199108690622745
Huntsville,AL,515081,48722,47.49315068493151,1374528,0.03544634958327513,94.59094783150611,122263879.12,6603018.7,0.05400629153537035
Idaho Falls,ID,165747,16277,44.43561643835616,519292,0.031344599955323786,98.20388905983215,32432959.86,1140065.79,0.035151456879705216
Indiana,PA,82901,8396,42.73150684931507,261248,0.032138045075943165,101.27742729279501,21909995.77,1136537.28,0.0518730031685442
Iowa City,IA,179356,25176,44.24657534246575,710201,0.035449119333822394,140.36887530944045,86285487.65,3750185.38,0.04346252750186549
Ithaca,NY,105827,12029,35.933518005540165,272702,0.04411042089900331,113.66664461810313,21408245.01,1496167.53,0.06988744426743647
Jackson,MS,145218,72450,50.52876712328767,1755215,0.041276994556222454,498.90509440978394,180241490.1,9252718.96,0.05133512242306968
Jackson,TN,12022,35329,40.629526462395546,1144343,0.03087273658334957,2938.6957245050744,57076884.03,3199384.36,0.05605394222849274
Jacksonville,FL,1681346,179563,52.37534246575343,4178956,0.042968387319703774,106.79717321717243,351337722.98,18600631.6,0.05294231271903258
Jasper,IN,33280,6095,40.707317073170735,147403,0.04134922627083574,183.14302884615387,8933840.58,952326.11,0.10659761627400788
Jefferson City,MO,150377,25505,40.43032786885246,654950,0.03894190396213451,169.6070542702674,38157216.02,2490328.41,0.06526493989222644
Jersey City,NJ,11970876,45156,57.81917808219178,650191,0.06945036150915654,3.7721550202341083,76606721.13,5794986.17,0.07564592354978919
Johnstown,PA,131432,23454,49.75757575757576,601938,0.03896414580903681,178.44969261671434,44655733.6,2986184.22,0.06687123868008743
Joplin,MO,203119,34625,39.96694214876033,768953,0.045028759885194544,170.46657378187172,52724814.16,5328191.4,0.10105661793004982
Kalamazoo,MI,261417,45472,50.27272727272727,1096240,0.04147996789024301,173.9443111962879,86546982.26,6335605.21,0.07320423017138714
Kalispell,MT,111783,12070,45.97534246575343,313218,0.03853546092497877,107.97706270184196,22218763.34,1757243.05,0.07908824731196763
Kansas City,KS,34457,29138,56.06849315068493,806072,0.03614813565041336,845.6336883652089,90026735.66,3348811.54,0.03719796697558055
Keene,NH,77386,14574,38.8,291711,0.04996040601828522,188.32863825498154,15776214.12,2105842.61,0.13348212657245553
Kennewick,WA,311299,11459,39.657534246575345,286346,0.040018020157431916,36.81026922669203,17662703.81,1249110.5,0.07072023136643427
Killeen,TX,494841,9867,48.46027397260274,203159,0.048567870485678705,19.939738218943052,10564881.39,626986.6,0.059346298065727734
Kingman,AZ,220947,17729,19.061624649859944,302576,0.05859354344032574,80.24096276482595,15030973.39,2508257.04,0.16687256207031312
Kingsville,TX,30454,3585,46.622478386167145,100846,0.0355492533169387,117.7185263019636,4292166.14,226999.62,0.05288696024241038
Kinston,NC,54529,17047,39.477178423236516,353351,0.04824381422438312,312.62264116341765,22111055.71,2447667.05,0.11069878716342847
Kissimmee,FL,2783767,80275,45.25205479452055,1458574,0.05503663166901371,28.836824346290477,87294498.44,9972387.99,0.11423844764804172
Klamath Falls,OR,70404,8055,41.23561643835617,190591,0.04226327581050522,114.4111130049429,10140469.78,1187712.32,0.11712596613053564
Knoxville,TN,933626,134059,51.794520547945204,2986150,0.044893592083451936,143.58961725573198,233317233.57,15914767.94,0.0682108547940812
Kokomo,IN,83574,28887,45.574175824175825,516260,0.05595436408011467,345.64577500179485,40007766.96,4045875.26,0.10112724521828698
La Crosse,WI,170184,27969,41.31780821917808,702852,0.03979358385549162,164.3456494147511,47221964.27,3466543.76,0.07340956297750381
La Grande,OR,26167,3539,33.8393351800554,96089,0.03683043844768912,135.24668475560821,4735011.82,317568.06,0.06706806066642511
La Porte,IN,111810,7463,39.27945205479452,172135,0.04335550585296424,66.74716036132725,7145382.36,757639.55,0.10603205144643932
Laconia,NH,64647,8652,31.743016759776538,144251,0.05997878697548024,133.8345166829087,5848934.52,1565351.46,0.2676301905325485
Lafayette,IN,227077,31089,43.07397260273972,839024,0.03705376723431034,136.90950646696936,52476576.1,4255404.04,0.08109149560159662
Lafayette,LA,248145,46868,46.95342465753425,1579995,0.02966338501071206,188.87344093171333,103477126,4712034.96,0.04553697171682174
Lake Charles,LA,239542,34637,50.97260273972603,836722,0.04139606703301694,144.59677217356457,60493540.58,4122255.56,0.06814373105750855
Lake City,FL,71941,16684,45.17906336088154,333091,0.050088414277179506,231.91226143645488,16747773.14,1789605.06,0.10685629934440347
Lakeland,FL,790530,98285,43.80165289256198,1801176,0.05456712725463808,124.32798249275803,104652257.17,10773369.38,0.1029444530995585
Lancaster,PA,556991,62115,60.10958904109589,1315085,0.047232688381359376,111.51885757579566,116634246.08,8183506.0200000005,0.07016383519456965
Laramie,WY,100860,2020,52.07123287671233,55038,0.03670191504051746,20.027761253222288,2300651.71,226954.4,0.09864787399740746
